iter	Passed	Remaining
0	3	547
1	6	485
2	9	457
3	11	421
4	13	403
5	16	390
6	18	372
7	20	359
8	22	347
9	23	332
10	25	321
11	27	311
12	28	303
13	30	295
14	31	286
15	33	279
16	34	273
17	36	266
18	37	259
19	39	254
20	40	249
21	42	245
22	43	241
23	45	238
24	46	234
25	48	230
26	49	227
27	51	223
28	52	220
29	54	216
30	55	213
31	57	210
32	58	208
33	60	205
34	61	202
35	63	199
36	64	196
37	65	194
38	67	191
39	68	188
40	70	186
41	71	184
42	73	182
43	74	180
44	76	178
45	77	176
46	79	174
47	80	171
48	82	169
49	83	167
50	85	165
51	86	163
52	88	161
53	89	159
54	91	157
55	92	155
56	94	153
57	95	151
58	97	149
59	98	147
60	99	145
61	101	143
62	103	142
63	104	140
64	105	138
65	107	136
66	108	134
67	110	133
68	111	131
69	113	129
70	114	127
71	116	125
72	117	124
73	118	122
74	120	120
75	121	118
76	123	116
77	124	115
78	126	113
79	127	111
80	129	110
81	130	108
82	132	106
83	133	105
84	135	103
85	137	102
86	138	100
87	140	98
88	141	97
89	143	95
90	144	93
91	146	92
92	147	90
93	149	88
94	150	87
95	152	85
96	153	84
97	155	82
98	156	80
99	158	79
100	159	77
101	160	75
102	162	74
103	163	72
104	165	70
105	166	69
106	168	67
107	169	66
108	171	64
109	172	62
110	174	61
111	175	59
112	177	58
113	178	56
114	180	54
115	181	53
116	183	51
117	184	50
118	186	48
119	187	46
120	188	45
121	190	43
122	192	42
123	193	40
124	195	39
125	196	37
126	198	35
127	199	34
128	201	32
129	202	31
130	204	29
131	206	28
132	207	26
133	209	24
134	210	23
135	212	21
136	213	20
137	215	18
138	216	17
139	218	15
140	220	14
141	221	12
142	223	10
143	224	9
144	226	7
145	227	6
146	229	4
147	230	3
148	232	1
149	233	0
